link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/rukita-rizadh-residence-radio-dalam/;Rukita Rizadh Residence Radio Dalam;RADIO DALAM, Pusat Ikan Hias, Jl. Ps. Inpres No.12, RT.2/RW.14, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia;GANDARIA UTARA;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Rooftop-GrandLucky – Radio Dalam 0.85 km-ITC Fatmawati 1.3 km-MRT Blok A 1.5 km-Pondok Indah Mall 1.7 km-Stasiun MRT Haji Nawi 2.1 km-K-Mart 2.6 km-Blok M Plaza 2.6 km-Lotte Mart Fatmawati 2.6 km;Regular Twin A;63;2400000
https://infokost.id/listing/avalon-residence-thamrin29-tanah-abang-jakarta-pusat/;Avalon Residence Thamrin29 Tanah Abang Jakarta Pusat;Jl.kebon kacang29 no.6,Rt.08/Rw.04,kecamatan Tanah Abang,Kelurahan Kebon kacang,kota jakarta Pusat,provinsi DKI jakarta;KEBON KACANG;TANAH ABANG;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Stasiun MRT Bundaran HI-Grand Indonesia-Plaza Indonesia-Thamrin City-Pasar Tanah Abang;Standar Queen Bed;9;3000000
https://infokost.id/listing/avalon-residence-thamrin29-tanah-abang-jakarta-pusat/;Avalon Residence Thamrin29 Tanah Abang Jakarta Pusat;Jl.kebon kacang29 no.6,Rt.08/Rw.04,kecamatan Tanah Abang,Kelurahan Kebon kacang,kota jakarta Pusat,provinsi DKI jakarta;KEBON KACANG;TANAH ABANG;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Stasiun MRT Bundaran HI-Grand Indonesia-Plaza Indonesia-Thamrin City-Pasar Tanah Abang;Standar/Queen Bed;9;3000000
https://infokost.id/listing/kost-murah-kelapa-gading-jakarta-utara/;Kost Murah Kelapa Gading Jakarta Utara;Jl.Gading Elok, Kelapa Gading, Jakarta Utara;KELAPA GADING TIMUR;KELAPA GADING;KOTA JAKARTA UTARA;DKI JAKARTA;Kost Putra;AC-Area makan-Area parkir-CCTV-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Summarecon Mall Kelapa Gading-Bella Terra Lifestyle Center-Coffe Shop-Jakarta International Equestrian Park;Single Bedroom;9;2000000
https://infokost.id/listing/kost-murah-kelapa-gading-jakarta-utara/;Kost Murah Kelapa Gading Jakarta Utara;Jl.Gading Elok, Kelapa Gading, Jakarta Utara;KELAPA GADING TIMUR;KELAPA GADING;KOTA JAKARTA UTARA;DKI JAKARTA;Kost Putra;AC-Area makan-Area parkir-CCTV-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Summarecon Mall Kelapa Gading-Bella Terra Lifestyle Center-Coffe Shop-Jakarta International Equestrian Park;Queensize Bedroom;9;2700000
https://infokost.id/listing/kost-residence-3/;Kost Residence 3;Jl Hemat 1 no 3 jelambar jakarta barat;JELAMBAR;GROGOL PETAMBURAN;KOTA JAKARTA BARAT;DKI JAKARTA;Kost Campur;Area makan-Area parkir-CCTV-Dapur-Kompor-Kulkas-Meja kompor-Ruang santai / ruang tamu-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;Standard Non AC;6;1000000
https://infokost.id/listing/kost-residence-3/;Kost Residence 3;Jl Hemat 1 no 3 jelambar jakarta barat;JELAMBAR;GROGOL PETAMBURAN;KOTA JAKARTA BARAT;DKI JAKARTA;Kost Campur;Area makan-Area parkir-CCTV-Dapur-Kompor-Kulkas-Meja kompor-Ruang santai / ruang tamu-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;Standard AC;6;1300000
https://infokost.id/listing/kost-residence-3/;Kost Residence 3;Jl Hemat 1 no 3 jelambar jakarta barat;JELAMBAR;GROGOL PETAMBURAN;KOTA JAKARTA BARAT;DKI JAKARTA;Kost Campur;Area makan-Area parkir-CCTV-Dapur-Kompor-Kulkas-Meja kompor-Ruang santai / ruang tamu-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;Kamar Suite Balkon;12;1600000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Pocket Single;75;3000000
https://infokost.id/listing/ruoptions-heef-residence-pasar-baru/;Heef Residence Pasar Baru;Jl. Samanhudi No.3, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;PASAR BARU;SAWAH BESAR;KOTA JAKARTA PUSAT;DKI JAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dispenser-Laundry-Lift-Ruang santai / ruang tamu-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Compact Queen;0;4500000
