link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/kos-10a/;Kos 10A;Jl kaliurang km 5.6 pandega wreksa no 10a;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Kulkas-Wifi-Universitas Gadjah Mada-Superindo Kaliurang-Apotek-Coffe Shop-Warung Makan;Kamar Mandi dalam;9;600000
https://infokost.id/listing/griya-indrayani/;Griya Indrayani;Jl. Demangan Baru Jl. Pelemburan Gg. Cucakrowo No.5, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Wifi-Universitas Negeri Yogyakarta-UIN Sunan Kalijaga Yogyakarta-Plaza Ambarrukmo-SMA Kolese De Britto Yogyakarta;Tipe A;10;2100000
https://infokost.id/listing/zaitun-syariah-guest-house/;Zaitun Syariah Guest House;Jl. Tata Bumi Selatan No.109, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293;NGESTIHARJO;KASIHAN;KABUPATEN BANTUL;DI YOGYAKARTA;Kost Campur;Area parkir-Cleaning service-Ruang santai / ruang tamu-Universitas PGRI Yogyakarta-Palang Merah Indonesia Daerah Istimewa Yogyakarta-GOR SUPRIYATI;Tipe A;12;3200000
https://infokost.id/listing/zaitun-syariah-guest-house/;Zaitun Syariah Guest House;Jl. Tata Bumi Selatan No.109, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293;NGESTIHARJO;KASIHAN;KABUPATEN BANTUL;DI YOGYAKARTA;Kost Campur;Area parkir-Cleaning service-Ruang santai / ruang tamu-Universitas PGRI Yogyakarta-Palang Merah Indonesia Daerah Istimewa Yogyakarta-GOR SUPRIYATI;Tipe B;11;2700000
https://infokost.id/listing/kost-putra-djaved-pogung/;Kost Putra D’Javed Pogung;Jl. Pogung Raya No.272G, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;SINDUADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Coffe Shop-Apartemen Taman Melati Yogyakarta-Rumah Sakit Umum Pusat (RSUP) Dr. Sardjito-Monumen Yogya Kembali;VIP;20;3700000
https://infokost.id/listing/kost-putra-djaved-pogung/;Kost Putra D’Javed Pogung;Jl. Pogung Raya No.272G, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;SINDUADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Coffe Shop-Apartemen Taman Melati Yogyakarta-Rumah Sakit Umum Pusat (RSUP) Dr. Sardjito-Monumen Yogya Kembali;Standard;16;2700000
https://infokost.id/listing/kost-eksklusif-rahayu/;Kost Eksklusif Rahayu;Jl. Lempongsari Raya No.165A, Jongkang, Baru, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;SARI HARJO;NGAGLIK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Jogja City Mall-Monumen Yogya Kembali-Pondok Pesantren Taruna Al – Quran-Apotek Kimia Farma;Standard;16;2000000
https://infokost.id/listing/kost-putri-ana/;Kost Putri Ana;Jl. Magelang Km 7,5 (Seberang BKN)/ Mlati Beningan RT 06 RW 02 Sendangadi Mlati Sleman;SENDANGADI;MLATI;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;CCTV-Wifi-Kantor Regional I BKN Yogyakarta-Mini Zoo Jogja Exotarium-Rumah Sakit Akademik UGM Yogyakarta-Gereja Katolik Santo Aloysius Gonzaga, Mlati;Standard;5;750000
https://infokost.id/listing/kost-arsyila-executive/;Kost Arsyila Executive;Perum Tamantirto Asri No.1, Jadan, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184;TAMANTIRTO;KASIHAN;KABUPATEN BANTUL;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Ruang santai / ruang tamu-Wifi-Universitas PGRI Yogyakarta-Universitas Muhammadiyah Yogyakarta-Lapangan Kasihan;Tipe A;10;1550000
https://infokost.id/listing/reddorz-near-amplas/;Reddorz near amplas;Jl. Ori II No.8, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Campur;Area parkir-CCTV-Cleaning service-Ruang santai / ruang tamu-Wifi-Universitas Gadjah Mada-UIN Sunan Kalijaga Yogyakarta-Bandar Udara Internasional Adisutjipto-Kampus I Mrican – Universitas Sanata Dharma;Tipe A;8;1700000
